,user_id,follows_id
0,1,1499
1,1,9360
2,1,6680
3,2,8066
4,2,6145
5,2,5700
6,3,3464
7,3,4020
8,3,532
9,4,1367
10,4,768
11,4,1897
12,5,5266
13,5,8488
14,5,1707
15,6,2601
16,6,4023
17,6,3524
18,7,1631
19,7,6295
20,7,1014
21,8,2985
22,8,365
23,8,8921
24,9,498
25,9,3328
26,9,3029
27,10,9697
28,10,3870
29,10,2094
30,11,2375
31,11,6073
32,11,5243
33,12,7177
34,12,8726
35,12,7170
36,13,2642
37,13,7240
38,13,5489
39,14,3823
40,14,5905
41,14,2935
42,15,6825
43,15,6090
44,15,73
45,16,8206
46,16,6877
47,16,3420
48,17,1258
49,17,7209
50,17,1026
51,18,3591
52,18,5331
53,18,1275
54,19,7440
55,19,2747
56,19,5903
57,20,4044
58,20,3212
59,20,7675
60,21,6696
61,21,1473
62,21,2278
63,22,7316
64,22,7122
65,22,6922
66,23,2621
67,23,9648
68,23,3754
69,24,2988
70,24,9320
71,24,9441
72,25,2178
73,25,7018
74,25,4792
75,26,4068
76,26,8139
77,26,7970
78,27,1369
79,27,9782
80,27,3647
81,28,2355
82,28,3146
83,28,9987
84,29,5802
85,29,7685
86,29,8402
87,30,8753
88,30,6924
89,30,5189
90,31,1715
91,31,8905
92,31,3763
93,32,3006
94,32,5996
95,32,7872
96,33,9924
97,33,1383
98,33,8594
99,34,6872
100,34,2601
101,34,9723
102,35,3289
103,35,5867
104,35,8365
105,36,424
106,36,5969
107,36,1327
108,37,434
109,37,2418
110,37,4070
111,38,3394
112,38,7258
113,38,579
114,39,3487
115,39,2573
116,39,8518
117,40,8511
118,40,4122
119,40,1593
120,41,3197
121,41,1546
122,41,9315
123,42,5900
124,42,3188
125,42,4802
126,43,9003
127,43,8607
128,43,5051
129,44,6425
130,44,6259
131,44,1157
132,45,829
133,45,1665
134,45,7338
135,46,394
136,46,8984
137,46,7264
138,47,9752
139,47,8545
140,47,7345
141,48,8495
142,48,6298
143,48,1333
144,49,1452
145,49,7116
146,49,6467
147,50,9678
148,50,9728
149,50,6775
